;name;COUNT(date);sellQuantity;real_speed;quantity;externalCode;priceType;price;ordering
404;Лампа для обогрева Exo Terra Intense Basking Spot (Артикул 5, 150 Вт);28;5.0;0.17857142857142858;0.0;c19780cf-fc47-4822-a5e2-c98d7d53c047;;;
405;"Лампа дневная B95150 ""ReptiDay"", Repti-Zoo (Артикул 1, 150 Вт)";144;;;3.0;VYXQSEzdhpk4qVy3ZyL4r0;;;
406;Лампа дневная Exo Terra Solar Glo (Артикул 1, 80 Вт);90;8.0;0.08888888888888889;3.0;b57df77b-cba3-45d6-959c-65123a48ee33;;;
407;Лампа дневная Exo Terra Solar Glo (Артикул 2, 125 Вт);180;2.0;0.011111111111111112;1.0;221b98f0-e037-46ef-9a0e-87c13963c890;;;
408;Лампа дневная Exo Terra Solar Glo (Артикул 3, 160 Вт, 140, 140, 241, 190);132;2.0;0.015151515151515152;2.0;839fec9c-ef29-4abb-8182-54ecd486219f;;;
409;"Лампа дневная неодимовая 63075B ""ReptiDay"", Repti-Zoo (Артикул 1, 75 Вт)";125;2.0;0.016;1.0;WUdZ1zSqgrmLm9Z1lxEEi0;;;
410;Лампа дневного света Exo Terra day light basking spot (Артикул 1, 50 Вт);115;2.0;0.017391304347826087;0.0;574KhuAFjwnJZDt8ISGOC2;;;
411;Лампа дневного света Exo Terra day light basking spot (Артикул 2, 25 Вт);177;2.0;0.011299435028248588;0.0;jxQz3hcHh-FWzsqW8TCbE1;;;
412;Лампа инфракрасная Exo Terra Infrared Basking Spot (Артикул 1, 50 Вт, 70, 70, 100, 52);132;12.0;0.09090909090909091;2.0;cae1d916-7e4b-44ce-9ae4-e637ff028f23;;;
413;Лампа инфракрасная Exo Terra Infrared Basking Spot (Артикул 2, 75 Вт, 70, 70, 100, 51);148;8.0;0.05405405405405406;0.0;bf4a597a-8929-4806-9513-d1a4e866edff;;;
414;Лампа инфракрасная Repti Zoo Friendly Infrared Heat (Артикул 1, 50 Вт);179;45.0;0.25139664804469275;5.0;d00487d4-e885-480d-845b-4f552e5d2098;;;
415;Лампа лунного света Exo Terra Night Т10 (Артикул 1, 15 Вт, 0,041);11;1.0;0.09090909090909091;0.0;cbac1c0b-7cca-4dcb-aef9-440ab737bd45;;;
416;"Лампа ночного освещенения ""Moon Lamp"", 0.5Вт, светодиодная, E27 LUCKY REPTILE (Артикул 1)";71;7.0;0.09859154929577464;7.0;sWqx9d33iYz7YtrGskVxW2;;;
417;Лампа обогрева для рептилий PetPetZone (Артикул 1, 25 Вт, 70, 70, 110, 53, 15 баллов);153;649.0;4.241830065359477;5.0;1e214015-d1ec-4415-9ed8-d1039b245302;opt;330.0;960.0
418;Лампа обогрева для рептилий PetPetZone (Артикул 1, 25 Вт, 70, 70, 110, 53, 15 баллов);153;649.0;4.241830065359477;5.0;1e214015-d1ec-4415-9ed8-d1039b245302;opt;330.0;960.0
419;Лампа обогрева для рептилий PetPetZone (Артикул 2, 50 Вт, 70, 70, 110, 53, 15 баллов);180;985.0;5.472222222222222;530.0;2371e202-3904-4f91-bdf8-dec59fa61dfb;opt;330.0;960.0
420;Лампа обогрева для рептилий PetPetZone (Артикул 2, 50 Вт, 70, 70, 110, 53, 15 баллов);180;985.0;5.472222222222222;530.0;2371e202-3904-4f91-bdf8-dec59fa61dfb;opt;330.0;960.0
421;Лампа обогрева для рептилий PetPetZone (Артикул 3, 75 Вт, 100, 100, 120, 72, 15 баллов);180;883.0;4.905555555555556;638.0;f9f4b11b-461b-4639-b339-a1a80e89a0f4;opt;390.0;960.0
422;Лампа обогрева для рептилий PetPetZone (Артикул 3, 75 Вт, 100, 100, 120, 72, 15 баллов);180;883.0;4.905555555555556;638.0;f9f4b11b-461b-4639-b339-a1a80e89a0f4;opt;390.0;960.0
423;Лампа обогрева для рептилий PetPetZone (Артикул 4, 100 Вт, 100, 100, 120, 72, 15 баллов);180;470.0;2.611111111111111;65.0;8287b289-f319-4f84-a124-db15d5384d0c;opt;470.0;960.0
424;Лампа обогрева для рептилий PetPetZone (Артикул 4, 100 Вт, 100, 100, 120, 72, 15 баллов);180;470.0;2.611111111111111;65.0;8287b289-f319-4f84-a124-db15d5384d0c;opt;470.0;960.0
425;"Лампа УФ T8 ""ReptiSol Desert"" 10.0 , Repti-Zoo (Артикул 1, 10 Вт)";144;;;29.0;JlSFbjg0iDa0O6TFBeTDT3;;;
426;"Лампа УФ T8 ""ReptiSol Desert"" 10.0 , Repti-Zoo (Артикул 2, 18 Вт)";144;1.0;0.006944444444444444;20.0;oQqveOeqhPGWn7NF9E7G92;;;
427;"Лампа УФ T8 ""ReptiSol Tropical"" 5.0 , Repti-Zoo (Артикул 1, 10 Вт)";144;;;18.0;cxak27gRiLyca5U6ukK001;;;
428;"Лампа УФ T8 ""ReptiSol Tropical"" 5.0 , Repti-Zoo (Артикул 2, 15 Вт)";144;;;8.0;GFOmU2PNhLRHaEfoJGCkM0;;;
429;"Лампа УФ T8 ""ReptiSol Tropical"" 5.0 , Repti-Zoo (Артикул 3, 18 Вт)";135;;;15.0;736Gsgo5g4Sb-Eh9Xy0P92;;;
430;"Лежанка ""Кекс"" от Pidan (Артикул 1, Pidan, 460, 460, 210, 2227)";180;2.0;0.011111111111111112;2.0;554a6097-7d2e-4bbc-b319-6bba32cf8c35;opt;2750.0;960.0
431;"Лежанка ""Кекс"" от Pidan (Артикул 1, Pidan, 460, 460, 210, 2227)";180;2.0;0.011111111111111112;2.0;554a6097-7d2e-4bbc-b319-6bba32cf8c35;opt;2750.0;960.0
432;"Лежанка ""Овечка"" от Pidan (Артикул 2, Pidan, Серый, 500, 300, 250, 1130)";180;;;5.0;ba8d2c49-58a2-4f37-9c0d-5c5f015ec020;opt;2750.0;960.0
433;"Лежанка ""Овечка"" от Pidan (Артикул 2, Pidan, Серый, 500, 300, 250, 1130)";180;;;5.0;ba8d2c49-58a2-4f37-9c0d-5c5f015ec020;opt;2750.0;960.0
434;Лиана для террариума Repti Zoo (Артикул 1, 10*2000 мм, 228г, 506мм, 100мм, 20мм);177;19.0;0.10734463276836158;6.0;6671e6bb-14ac-4c79-aa9d-1fa4ad42ec33;;;
435;Лиана для террариума Repti Zoo (Артикул 2, 15*2000 мм, 391г, 555мм, 100мм, 40мм);177;12.0;0.06779661016949153;9.0;57fe2cab-4708-4ea0-8530-13f79bc694ad;;;
436;Лиана для террариума Repti Zoo (Артикул 3, 20*2000 мм, 554г, 555мм, 100мм, 40мм);180;8.0;0.044444444444444446;4.0;a32c2559-2023-4222-a710-b78699450098;;;
437;Лиана искусственная со мхом Repti-Zoo (Артикул 1, 10*2000 мм, 148г, 507мм, 12мм, 20мм);135;10.0;0.07407407407407407;0.0;qZ2B1kJQiMHnvhLcnmuLJ0;;;
438;Лиана искусственная со мхом Repti-Zoo (Артикул 2, 15*2000 мм, 267г, 559мм, 100мм, 40мм);168;14.0;0.08333333333333333;3.0;PKBuPS3YiGQxQxXjeChe32;;;
439;Лиана искусственная со мхом Repti-Zoo (Артикул 3, 20*2000 мм, 433г, 555мм, 100мм, 40мм);180;9.0;0.05;2.0;m883F1GSj7BwrHBPkHdvN0;;;
440;Лиана природная заплетенная - коряга для террариума (Артикул 1, 30-40 см, 40 г);180;21.0;0.11666666666666667;11.0;LLhAxrioiYrqowiCXOjx33;;;
441;Лиана природная заплетенная - коряга для террариума (Артикул 2, 50-60 см, 160 г);180;30.0;0.16666666666666666;7.0;1p55rzm4hHVL1d5A41HWi2;;;
442;Лиана природная заплетенная - коряга для террариума (Артикул 3, 70-80 см, 270 г);180;8.0;0.044444444444444446;6.0;qAbQciZFgmA-jGooWh89-2;;;
443;Лиана природная заплетенная - коряга для террариума (Артикул 4, 90-100см, 350 г);180;6.0;0.03333333333333333;2.0;ROGStdhbjVQZis1IvW8Cm3;;;
444;Лиана природная заплетенная - коряга для террариума (Артикул 5, 110-120см, 520 г);180;8.0;0.044444444444444446;11.0;J3D4Ocj0iZsXO297hxAml2;;;
445;Лиана с листьями Repti Zoo, 1*160 см (Артикул 1, 10*1600 мм, 159 г);87;6.0;0.06896551724137931;0.0;270NKtWMgRMDRXDiM22Dw2;;;
446;Липкий термоковрик Repti Zoo (Артикул 1, 7 Вт);25;9.0;0.36;15.0;a242e005-ace4-40f4-b5db-2d38c42a9cc6;;;
447;Липкий термоковрик Repti Zoo (Артикул 4, 5 Вт, 14*15 см);71;1.0;0.014084507042253521;1.0;2d7d3c30-2e61-4ccb-8df8-9034e3861c44;;;
448;Липкий термоковрик Repti Zoo (Артикул 5, 14 Вт, 28*28 см);180;8.0;0.044444444444444446;3.0;67749791-81d2-494d-b20c-e634958e4e1f;;;
449;Листья бамбука - натуральный грунт для террариума (Артикул 1, листья бамбука, 5 баллов, 63, 250, 100, 360);41;5.0;0.12195121951219512;0.0;042fe91d-f3a7-4d36-b02e-e6ff1b80202d;opt;390.0;960.0
450;Листья бамбука - натуральный грунт для террариума (Артикул 1, листья бамбука, 5 баллов, 63, 250, 100, 360);41;5.0;0.12195121951219512;0.0;042fe91d-f3a7-4d36-b02e-e6ff1b80202d;opt;390.0;960.0
451;Ловушка-держатель для живых насекомых (артикул 1, NomoyPet);17;4.0;0.23529411764705882;0.0;K6p0yHyhj-9JRkfscnq0n0;;;
452;лягушка водонос (Pyxicephalus adspersus) S (Артикул 1);4;1.0;0.25;0.0;GMh9ZBNOio-gSaZJzzTaJ2;;;
453;Лягушка рогатка Кранвелла (Ceratophrys cranwelli) (Артикул 1);141;32.0;0.22695035460992907;24.0;10139dc2-b89b-4dac-bac1-dd371b2d08ae;;;
454;Лягушка рогатка Кранвелла (Ceratophrys cranwelli) (Артикул 2, m);5;1.0;0.2;0.0;5e98efd6-af85-4462-a0ca-80c031155aba;;;
455;Лягушка-водонос (Pyxicephalus adspersus) L (Артикул 1);9;;;0.0;26efdf8f-2667-48ad-99a3-3e1f95ce0cde;;;
456;Маисовый полоз Miami (Артикул 1);20;4.0;0.2;0.0;L0vrbji3gOBDosNq5hj5i0;;;
457;Механический таймер SysTec TG-14A (Артикул 1);159;63.0;0.39622641509433965;3.0;ec992c75-1540-40cb-a389-a65fefbd141b;;;
458;"Миска ""Slow Feeder"" от Pidan (Артикул 1, Pidan, Зеленый, 240, 250, 60, 434)";180;;;18.0;1a8ca8ae-b2e8-4c38-9973-07031060fd92;opt;1300.0;960.0
459;"Миска ""Slow Feeder"" от Pidan (Артикул 1, Pidan, Зеленый, 240, 250, 60, 434)";180;;;18.0;1a8ca8ae-b2e8-4c38-9973-07031060fd92;opt;1300.0;960.0
460;"Миска ""Вулкан"" от Pidan (Артикул 3, Pidan, Черный, 210, 210, 100, 534)";180;;;9.0;ad61c2c4-e924-4558-8302-458b6079b3ba;opt;1300.0;960.0
461;"Миска ""Вулкан"" от Pidan (Артикул 3, Pidan, Черный, 210, 210, 100, 534)";180;;;9.0;ad61c2c4-e924-4558-8302-458b6079b3ba;opt;1300.0;960.0
462;Молочная змея Кэмпбелла Apricot (Артикул 1);128;1.0;0.0078125;4.0;nQZx0BCeiNEj31XK-coE71;;;
463;Молочная змея синалойская (Lampropeltis triangulum sinaloae) (22-25 градусов (ночью не ниже 20), Артикул 1, до 100 см, полчаса в неделю, до полугода - каждые 5-7 дней, далее - увеличивать до 10-14 дней., 50 × 35 × 30 см, 30-33 градуса, умеренная);94;12.0;0.1276595744680851;0.0;ba68b498-4ba3-4fb2-9c74-3e59575b634a;;;
464;Мостик для черепах Repti Zoo (Артикул 1, 140*80*40мм);173;;;1.0;81aa3bb9-fdb8-4f29-b941-1125c3e831f3;;;
465;Мох натуральный прессованный в брикете Exo Terra (Артикул 1, 0,488);87;28.0;0.3218390804597701;8.0;377b4b2f-53f9-4016-bd63-1606a4a5b5ca;;;
466;Мох сфагнум Repti Zoo ReptiMoss, брикеты, 100 г (Артикул 1, 97г, 270мм, 125мм, 65мм);97;50.0;0.5154639175257731;3.0;7fdb889c-7f6c-4ab0-97c1-a18f8b38b31a;;;
467;Мох сфагнум влажный Simple Zoo - грунт для рептилий, 1.5 л (1,5 л, артикул 1, 5 баллов, 450, 250, 50, 360);177;1051.0;5.937853107344632;30.0;e4bf8d02-03f7-4770-8850-9cb67abd80b9;opt;210.0;960.0
468;Мультивитамины для рептилий и амфибий Food Farm, 50г (Food-Farm, Артикул 1);172;539.0;3.133720930232558;48.0;e5ebcdf2-7dea-42e0-be2d-dd4eaee79f25;;;
469;"Муравьиная ферма Simple Zoo ""Макси"" (27*22*7 см) (Артикул 1, Зеленый лист, 15 баллов)";180;;;1.0;1MZE6D3XgE-TxwKmmcLM02;opt;3890.0;960.0
470;"Муравьиная ферма Simple Zoo ""Мини"" (20*15*7 см) (Артикул 1, Зеленый лист, 15 баллов)";11;;;0.0;1NI2RjRuiTy7lILbRm4KJ0;opt;1750.0;960.0
471;"Муха дрозофила ""хидея"" (Артикул 1)";156;;;8.0;onJMo698hNTNbeF7t5XZS3;;;
